,Rank,Gender,Age,Finish,Pace,Athlet url,Race url,Watch,Shoes,Distance,City,Year,Race Type,Watch Brand,Watch Error,Watch Error Abs,Shoes Brand,Finish Numeric
2,2,M,25-34,2:09:22,3:04/km,26014313,1941896216,Garmin Forerunner 235,NA,40.83,Chicago,2018,Marathon,Garmin,-1.365000000000002,1.365000000000002,NA,2.156111111111111
3,3,M,25-34,2:16:43,3:14/km,3379511,1890679023,Suunto Ambit3 Sport,NA,43.52,Chicago,2018,Marathon,Suunto,1.3250000000000028,1.3250000000000028,NA,2.278611111111111
4,4,M,NA,2:18:53,3:17/km,7115616,1905235306,Garmin Forerunner 220,NA,42.19,Chicago,2018,Marathon,Garmin,-0.005000000000002558,0.005000000000002558,NA,2.314722222222222
5,5,M,25-34,2:19:02,3:18/km,8462191,1890344957,Garmin Forerunner 735XT,Nike Epic React,42.42,Chicago,2018,Marathon,Garmin,0.22500000000000142,0.22500000000000142,Nike,2.317222222222222
6,6,M,NA,2:20:17,3:19/km,17782492,1890275679,Garmin Forerunner 935,Asolo Hyperspeed,42.61,Chicago,2018,Marathon,Garmin,0.41499999999999915,0.41499999999999915,Asolo,2.3380555555555556
7,7,NA,25-34,2:20:30,3:20/km,3344463,1890225554,Garmin Forerunner 235,NA,42.89,Chicago,2018,Marathon,Garmin,0.6950000000000003,0.6950000000000003,NA,2.341666666666667
8,8,M,NA,2:21:03,3:21/km,514714,1890960166,Suunto,Altra Escalante,42.9,Chicago,2018,Marathon,Suunto,0.7049999999999983,0.7049999999999983,Altra,2.3508333333333336
9,9,NA,NA,2:21:03,3:21/km,12176040,1941943855,Garmin Forerunner 630,NA,42.62,Chicago,2018,Marathon,Garmin,0.42499999999999716,0.42499999999999716,NA,2.3508333333333336
10,10,M,25-34,2:21:14,3:21/km,6758252,1890338696,Garmin Forerunner 620,NA,42.88,Chicago,2018,Marathon,Garmin,0.6850000000000023,0.6850000000000023,NA,2.353888888888889
11,11,M,NA,2:21:36,3:21/km,12778686,1890761266,Garmin Forerunner 225,NA,42.37,Chicago,2018,Marathon,Garmin,0.17499999999999716,0.17499999999999716,NA,2.36
12,12,M,25-34,2:22:25,3:23/km,14578442,1891905067,Garmin Forerunner 230,NA,42.52,Chicago,2018,Marathon,Garmin,0.32500000000000284,0.32500000000000284,NA,2.3736111111111113
13,13,M,25-34,2:22:41,3:23/km,11172574,1890234599,Garmin Forerunner 935,NA,42.18,Chicago,2018,Marathon,Garmin,-0.015000000000000568,0.015000000000000568,NA,2.3780555555555556
14,14,M,25-34,2:23:18,3:24/km,19795669,1898419948,Garmin Forerunner 220,New Balance 1500,41.38,Chicago,2018,Marathon,Garmin,-0.8149999999999977,0.8149999999999977,New Balance,2.388333333333333
15,15,M,25-34,2:23:55,3:25/km,5391643,1890284953,Garmin Forerunner 735XT,Adidas Adios,42.31,Chicago,2018,Marathon,Garmin,0.11500000000000199,0.11500000000000199,Adidas,2.3986111111111112
16,16,M,NA,2:24:20,3:25/km,15825972,1890371403,Garmin Forerunner 230,New Balance 1400,42.41,Chicago,2018,Marathon,Garmin,0.2149999999999963,0.2149999999999963,New Balance,2.4055555555555554
17,17,M,25-34,2:25:18,3:27/km,2167255,1890270226,Garmin Forerunner 235,Nike Jordan 88 Racer,42.47,Chicago,2018,Marathon,Garmin,0.2749999999999986,0.2749999999999986,Nike,2.4216666666666664
18,18,M,NA,2:25:40,3:27/km,11472505,1891840884,Garmin Forerunner 235,Nike Zoom Elite 9,42.62,Chicago,2018,Marathon,Garmin,0.42499999999999716,0.42499999999999716,Nike,2.4277777777777776
20,20,M,25-34,2:26:32,3:28/km,25053090,1890751209,Garmin Forerunner 230,NA,42.63,Chicago,2018,Marathon,Garmin,0.4350000000000023,0.4350000000000023,NA,2.4422222222222225
21,21,M,NA,2:27:24,3:30/km,13501456,1890600748,Garmin Forerunner 230,NA,42.58,Chicago,2018,Marathon,Garmin,0.384999999999998,0.384999999999998,NA,2.456666666666667
22,22,M,25-34,2:28:04,3:31/km,3048246,1890318607,Garmin Forerunner 235,NA,42.55,Chicago,2018,Marathon,Garmin,0.3549999999999969,0.3549999999999969,NA,2.467777777777778
23,23,M,20-24,2:28:17,3:31/km,11841412,1890898355,Garmin Forerunner 645 Music,NA,42.81,Chicago,2018,Marathon,Garmin,0.615000000000002,0.615000000000002,NA,2.471388888888889
24,24,M,25-34,2:28:28,3:31/km,5974020,1890751183,Garmin Forerunner 620,NA,42.4,Chicago,2018,Marathon,Garmin,0.2049999999999983,0.2049999999999983,NA,2.4744444444444444
25,25,M,20-24,2:28:41,3:31/km,22718385,1890293606,Garmin Forerunner 235,NA,42.32,Chicago,2018,Marathon,Garmin,0.125,0.125,NA,2.4780555555555557
26,26,M,25-34,2:28:55,3:32/km,2125210,1890981426,Polar M430,NA,43.04,Chicago,2018,Marathon,Polar,0.8449999999999989,0.8449999999999989,NA,2.4819444444444447
27,27,M,NA,2:28:58,3:32/km,7178627,1893158084,Garmin Forerunner 235,NA,42.52,Chicago,2018,Marathon,Garmin,0.32500000000000284,0.32500000000000284,NA,2.4827777777777778
28,28,M,25-34,2:29:13,3:32/km,220760,1890392267,Garmin Forerunner 235,Nike Vaporfly 4%,42.5,Chicago,2018,Marathon,Garmin,0.3049999999999997,0.3049999999999997,Nike,2.4869444444444446
29,29,M,35-44,2:29:18,3:32/km,2203055,1890349239,Garmin Forerunner 225,NA,43.62,Chicago,2018,Marathon,Garmin,1.4249999999999972,1.4249999999999972,NA,2.4883333333333333
31,31,M,25-34,2:29:30,3:33/km,17236629,1890439104,Garmin Forerunner 935,NA,42.77,Chicago,2018,Marathon,Garmin,0.5750000000000028,0.5750000000000028,NA,2.4916666666666667
32,32,M,25-34,2:29:35,3:33/km,10782430,1917229051,Garmin Forerunner 235,NA,42.42,Chicago,2018,Marathon,Garmin,0.22500000000000142,0.22500000000000142,NA,2.493055555555556
33,33,M,35-44,2:29:39,3:33/km,3381620,1890284108,Garmin Forerunner 935,Nike Vaporfly,42.55,Chicago,2018,Marathon,Garmin,0.3549999999999969,0.3549999999999969,Nike,2.4941666666666666
34,34,M,35-44,2:30:03,3:33/km,19357851,1890299179,Garmin Forerunner 230,NA,42.7,Chicago,2018,Marathon,Garmin,0.5050000000000026,0.5050000000000026,NA,2.5008333333333335
35,35,M,25-34,2:30:28,3:34/km,15038122,1890996622,Garmin Forerunner 235,Nike Ar4561 068 Zoom Fly Fk,42.39,Chicago,2018,Marathon,Garmin,0.19500000000000028,0.19500000000000028,Nike,2.5077777777777777
36,36,M,NA,2:30:34,3:34/km,4565928,1891096149,Garmin Forerunner 645 Music,NA,42.26,Chicago,2018,Marathon,Garmin,0.06499999999999773,0.06499999999999773,NA,2.5094444444444446
37,37,M,NA,2:30:36,3:34/km,14784701,1890284753,Garmin vivoactive,NA,43.01,Chicago,2018,Marathon,Garmin,0.8149999999999977,0.8149999999999977,NA,2.51
38,38,M,25-34,2:30:38,3:34/km,10840488,1892917609,Garmin Forerunner 620,NA,42.09,Chicago,2018,Marathon,Garmin,-0.10499999999999687,0.10499999999999687,NA,2.5105555555555554
39,39,M,NA,2:30:47,3:34/km,2868264,1890299425,Garmin Forerunner 230,NA,42.9,Chicago,2018,Marathon,Garmin,0.7049999999999983,0.7049999999999983,NA,2.5130555555555554
40,40,M,25-34,2:30:47,3:34/km,23338038,1921860133,Garmin Forerunner 620,Adidas Adios Boost,42.19,Chicago,2018,Marathon,Garmin,-0.005000000000002558,0.005000000000002558,Adidas,2.5130555555555554
41,41,M,NA,2:30:49,3:34/km,14369136,1890554507,Garmin Forerunner 735XT,NA,42.56,Chicago,2018,Marathon,Garmin,0.365000000000002,0.365000000000002,NA,2.513611111111111
42,42,M,NA,2:31:55,3:36/km,21333791,1891138086,Garmin Forerunner 235,Nike Zoom Streak 6,42.54,Chicago,2018,Marathon,Garmin,0.34499999999999886,0.34499999999999886,Nike,2.5319444444444446
43,43,M,NA,2:31:57,3:36/km,15198871,1890347756,Garmin Forerunner 235,NA,42.6,Chicago,2018,Marathon,Garmin,0.40500000000000114,0.40500000000000114,NA,2.5324999999999998
44,44,M,35-44,2:31:59,3:36/km,11847715,1890591013,Garmin Forerunner 235,NA,42.54,Chicago,2018,Marathon,Garmin,0.34499999999999886,0.34499999999999886,NA,2.5330555555555554
45,45,M,35-44,2:32:02,3:36/km,9298417,1890400286,Garmin Forerunner 935,Nike Zoom Vaporfly 4%,42.3,Chicago,2018,Marathon,Garmin,0.10499999999999687,0.10499999999999687,Nike,2.533888888888889
46,46,M,25-34,2:32:03,3:36/km,7403534,1891074293,Garmin Forerunner 35,Nike Pegasus 35 Grey/Pink,42.31,Chicago,2018,Marathon,Garmin,0.11500000000000199,0.11500000000000199,Nike,2.5341666666666667
47,47,M,NA,2:32:25,3:37/km,8380349,1890765491,Garmin Forerunner 645 Music,NA,42.51,Chicago,2018,Marathon,Garmin,0.3149999999999977,0.3149999999999977,NA,2.540277777777778
48,48,M,25-34,2:32:26,3:37/km,22396002,1891048453,Garmin Forerunner 920XT,NA,42.57,Chicago,2018,Marathon,Garmin,0.375,0.375,NA,2.5405555555555552
49,49,M,25-34,2:32:27,3:37/km,9626533,1890326393,Garmin Forerunner 235,Nike Free Rn,41.91,Chicago,2018,Marathon,Garmin,-0.2850000000000037,0.2850000000000037,Nike,2.540833333333333
50,50,M,25-34,2:32:40,3:37/km,19774055,1892567914,Garmin Forerunner 25,NA,42.5,Chicago,2018,Marathon,Garmin,0.3049999999999997,0.3049999999999997,NA,2.5444444444444443
51,51,M,35-44,2:32:43,3:37/km,1971045,1890290940,Garmin Forerunner 630,NA,42.42,Chicago,2018,Marathon,Garmin,0.22500000000000142,0.22500000000000142,NA,2.5452777777777778
52,52,M,NA,2:33:37,3:38/km,18044110,1890305571,Garmin Forerunner 645 Music,NA,41.98,Chicago,2018,Marathon,Garmin,-0.2150000000000034,0.2150000000000034,NA,2.5602777777777774
53,53,M,35-44,2:33:42,3:39/km,3685817,1890490368,Garmin Forerunner 235,Brooks Ghost,42.38,Chicago,2018,Marathon,Garmin,0.18500000000000227,0.18500000000000227,Brooks,2.5616666666666665
54,54,M,25-34,2:34:10,3:39/km,16147394,1890306876,Garmin Forerunner 645,Adidas Boston,42.7,Chicago,2018,Marathon,Garmin,0.5050000000000026,0.5050000000000026,Adidas,2.569444444444444
55,55,F,25-34,2:34:13,3:39/km,14174386,1890310481,Garmin Forerunner 35,NA,42.58,Chicago,2018,Marathon,Garmin,0.384999999999998,0.384999999999998,NA,2.5702777777777777
56,56,M,25-34,2:34:14,3:39/km,11286575,1890319868,Garmin Forerunner 235,Nike Vaporfly Flyknit,42.55,Chicago,2018,Marathon,Garmin,0.3549999999999969,0.3549999999999969,Nike,2.5705555555555555
57,57,M,NA,2:34:22,3:40/km,15085772,1890318675,Suunto Spartan Sport Wrist HR Baro,NA,43.4,Chicago,2018,Marathon,Suunto,1.2049999999999983,1.2049999999999983,NA,2.5727777777777776
58,58,M,25-34,2:34:25,3:40/km,3934955,1890476453,Garmin Forerunner 935,Adidas Boston Jean 2,42.34,Chicago,2018,Marathon,Garmin,0.14500000000000313,0.14500000000000313,Adidas,2.573611111111111
59,59,M,35-44,2:34:27,3:40/km,12738048,1892140697,Garmin Forerunner 310XT,Nike Zoom Vaporfly 4%,42.1,Chicago,2018,Marathon,Garmin,-0.09499999999999886,0.09499999999999886,Nike,2.5741666666666663
60,60,M,NA,2:34:29,3:40/km,12579039,1890397533,Garmin fenix 3,NA,44.12,Chicago,2018,Marathon,Garmin,1.9249999999999972,1.9249999999999972,NA,2.574722222222222
61,61,M,25-34,2:34:33,3:40/km,7134908,1927255168,Garmin Forerunner 620,Brooks Adrenaline Gts 18.5,42.36,Chicago,2018,Marathon,Garmin,0.16499999999999915,0.16499999999999915,Brooks,2.575833333333333
62,62,M,NA,2:34:36,3:40/km,11379922,1890317970,Garmin Forerunner 235,Adidas Adizero Sub2,42.85,Chicago,2018,Marathon,Garmin,0.6550000000000011,0.6550000000000011,Adidas,2.576666666666666
63,63,M,NA,2:34:38,3:40/km,4205650,1890537749,Garmin fenix 3,NA,43.74,Chicago,2018,Marathon,Garmin,1.5450000000000017,1.5450000000000017,NA,2.577222222222222
65,65,M,35-44,2:34:49,3:40/km,12314941,1891078819,Garmin Forerunner 735XT,NA,42.36,Chicago,2018,Marathon,Garmin,0.16499999999999915,0.16499999999999915,NA,2.5802777777777774
66,66,M,25-34,2:34:57,3:40/km,2423880,1890477382,Garmin Forerunner 235,Nike Zoom Pegasus 34,42.67,Chicago,2018,Marathon,Garmin,0.4750000000000014,0.4750000000000014,Nike,2.5824999999999996
67,67,M,25-34,2:34:58,3:40/km,11145099,1890396669,Garmin Forerunner 630,NA,42.49,Chicago,2018,Marathon,Garmin,0.2950000000000017,0.2950000000000017,NA,2.5827777777777774
68,68,M,25-34,2:35:00,3:40/km,25317661,1890843004,Garmin Forerunner 220,NA,42.44,Chicago,2018,Marathon,Garmin,0.24499999999999744,0.24499999999999744,NA,2.5833333333333335
69,69,M,NA,2:35:02,3:40/km,24459405,1890666879,Garmin Forerunner 935,Brooks Ghost,42.35,Chicago,2018,Marathon,Garmin,0.15500000000000114,0.15500000000000114,Brooks,2.583888888888889
70,70,M,25-34,2:35:03,3:40/km,33202218,1892975262,Garmin Forerunner 735XT,NA,42.32,Chicago,2018,Marathon,Garmin,0.125,0.125,NA,2.584166666666667
71,71,M,35-44,2:35:24,3:41/km,23247221,1890434666,Garmin Forerunner 230,NA,42.69,Chicago,2018,Marathon,Garmin,0.49499999999999744,0.49499999999999744,NA,2.5900000000000003
72,72,M,NA,2:35:26,3:41/km,7234732,1890341633,Garmin Forerunner 935,Saucony Virrata,42.74,Chicago,2018,Marathon,Garmin,0.5450000000000017,0.5450000000000017,Saucony,2.5905555555555555
73,73,M,25-34,2:35:28,3:41/km,14582990,1890665315,Suunto 9,Nike Vaporfly 4% Flyknit ,42.44,Chicago,2018,Marathon,Suunto,0.24499999999999744,0.24499999999999744,Nike,2.591111111111111
74,74,M,NA,2:35:31,3:41/km,19774588,1890455754,Garmin Forerunner 25,Saucony Type A8,42.61,Chicago,2018,Marathon,Garmin,0.41499999999999915,0.41499999999999915,Saucony,2.5919444444444446
75,75,M,35-44,2:36:05,3:42/km,384435,1891254381,Garmin Forerunner 630,Adidas Adios 3',42.52,Chicago,2018,Marathon,Garmin,0.32500000000000284,0.32500000000000284,Adidas,2.601388888888889
76,76,M,NA,2:36:10,3:42/km,25259046,1890848353,Garmin Forerunner 235,NA,42.75,Chicago,2018,Marathon,Garmin,0.5549999999999997,0.5549999999999997,NA,2.602777777777778
77,77,M,35-44,2:36:17,3:42/km,32745332,1890589950,Garmin vivoactive 3,Nike Streak 6,41.77,Chicago,2018,Marathon,Garmin,-0.42499999999999716,0.42499999999999716,Nike,2.604722222222222
78,78,M,35-44,2:36:20,3:42/km,4051513,1890560735,Garmin Forerunner 220,NA,42.26,Chicago,2018,Marathon,Garmin,0.06499999999999773,0.06499999999999773,NA,2.6055555555555556
